Interval=	0.001 s
ExcelDateTime=	4.4558451867772063e+004	12/28/2021 10:50:41.375506
TimeFormat=	StartOfBlock
ChannelTitle=	Channel 1
Range=	5.000 V
UnitName=	pu
TopValue=	5000.00
BottomValue=	-5000.00
1.173	343.75
1.174	343.59
1.175	334.84
1.176	333.91
1.177	334.38
1.178	334.69
1.179	334.38
1.18	334.69
1.181	334.38
1.182	334.69
1.183	334.22
1.184	334.38
1.185	334.38
1.186	334.53
1.187	334.84
1.188	334.06
1.189	334.22
1.19	334.53
1.191	334.38
1.192	335.00
1.193	334.53
1.194	334.22
1.195	335.31
1.196	335.31
1.197	335.47
1.198	335.47
1.199	336.41
1.2	335.63
1.201	335.31
1.202	335.94
1.203	335.16
1.204	335.16
1.205	335.63
1.206	335.94
1.207	335.31
1.208	335.63
1.209	336.09
1.21	335.78
1.211	336.09
1.212	335.31
1.213	335.63
1.214	335.31
1.215	336.72
1.216	336.88
1.217	336.88
1.218	336.88
1.219	336.56
1.22	336.41
1.221	337.03
1.222	336.88
1.223	336.56
1.224	336.72
1.225	337.03
1.226	336.72
1.227	336.88
1.228	337.03
1.229	336.88
1.23	337.19
1.231	336.88
1.232	336.56
1.233	336.88
1.234	336.88
1.235	333.75
1.236	333.91
1.237	333.75
1.238	333.91
1.239	334.06
1.24	333.91
1.241	333.59
1.242	333.28
1.243	333.44
1.244	334.22
1.245	333.28
1.246	334.06
1.247	333.91
1.248	333.44
1.249	334.06
1.25	333.91
1.251	333.59
1.252	333.91
1.253	333.91
1.254	334.06
1.255	325.47
1.256	325.31
1.257	325.00
1.258	325.47
1.259	325.00
1.26	324.53
1.261	325.94
1.262	324.53
1.263	325.31
1.264	324.84
1.265	325.31
1.266	325.31
1.267	324.84
1.268	325.47
1.269	324.69
1.27	325.31
1.271	325.63
1.272	325.31
1.273	325.31
1.274	325.16
1.275	313.75
1.276	314.06
1.277	313.91
1.278	314.06
1.279	313.91
1.28	313.59
1.281	313.59
1.282	314.06
1.283	314.22
1.284	313.91
1.285	314.22
1.286	313.59
1.287	314.38
1.288	314.06
1.289	314.06
1.29	314.06
1.291	313.91
1.292	314.06
1.293	313.91
1.294	314.06
1.295	309.38
1.296	309.84
1.297	309.06
1.298	308.91
1.299	308.75
1.3	309.38
1.301	309.38
1.302	309.22
1.303	309.53
1.304	309.22
1.305	309.38
1.306	309.69
1.307	308.91
1.308	310.00
1.309	309.22
1.31	309.38
1.311	309.38
1.312	309.06
1.313	309.22
1.314	308.75
1.315	312.50
1.316	312.19
1.317	312.34
1.318	312.03
1.319	312.03
1.32	312.81
1.321	312.19
1.322	312.34
1.323	312.03
1.324	312.34
1.325	312.34
1.326	312.50
1.327	312.03
1.328	312.50
1.329	312.19
1.33	312.34
1.331	311.72
1.332	312.66
1.333	312.50
1.334	311.88
1.335	315.78
1.336	315.78
1.337	316.41
1.338	315.63
1.339	316.09
1.34	316.09
1.341	315.78
1.342	316.09
1.343	315.94
1.344	316.25
1.345	315.78
1.346	316.09
1.347	316.09
1.348	315.78
1.349	315.63
1.35	315.78
1.351	316.09
1.352	315.94
1.353	316.09
1.354	315.63
1.355	311.56
1.356	311.41
1.357	310.78
1.358	311.09
1.359	311.25
1.36	311.88
1.361	311.09
1.362	310.78
1.363	311.25
1.364	311.09
1.365	311.25
1.366	311.41
1.367	311.56
1.368	311.72
1.369	311.25
1.37	311.41
1.371	311.09
1.372	311.41
1.373	311.41
1.374	311.25
1.375	297.03
1.376	296.72
1.377	297.03
1.378	296.56
1.379	296.72
1.38	296.88
1.381	296.56
1.382	297.19
1.383	297.34
1.384	297.03
1.385	297.03
1.386	296.88
1.387	296.88
1.388	296.41
1.389	297.19
1.39	296.09
1.391	297.03
1.392	296.56
1.393	297.19
1.394	296.88
1.395	282.03
1.396	282.81
1.397	282.50
1.398	282.81
1.399	282.50
1.4	282.81
1.401	283.28
1.402	282.50
1.403	282.66
1.404	282.50
1.405	282.81
1.406	282.66
1.407	282.50
1.408	282.34
1.409	282.50
1.41	282.81
1.411	282.03
1.412	282.34
1.413	282.66
1.414	282.81
1.415	277.03
1.416	276.56
1.417	277.34
1.418	277.34
1.419	276.88
1.42	277.19
1.421	277.03
1.422	277.34
1.423	276.72
1.424	277.34
1.425	277.03
1.426	276.72
1.427	277.66
1.428	276.72
1.429	277.03
1.43	277.03
1.431	276.88
1.432	276.72
1.433	277.03
1.434	276.88
1.435	276.09
1.436	276.41
1.437	276.09
1.438	276.56
1.439	276.41
1.44	275.63
1.441	276.41
1.442	277.19
1.443	276.09
1.444	275.78
1.445	276.56
1.446	276.25
1.447	276.09
1.448	276.56
1.449	275.78
1.45	276.41
1.451	276.09
1.452	276.09
1.453	276.41
1.454	276.09
1.455	280.63
1.456	280.47
1.457	281.09
1.458	280.31
1.459	280.63
1.46	280.31
1.461	280.63
1.462	280.47
1.463	280.78
1.464	280.47
1.465	280.31
1.466	280.00
1.467	280.63
1.468	280.63
1.469	280.63
1.47	280.47
1.471	280.47
1.472	280.63
1.473	280.00
1.474	280.63
1.475	288.44
1.476	288.59
1.477	288.91
1.478	288.13
1.479	288.59
1.48	288.28
1.481	288.59
1.482	288.59
1.483	288.44
1.484	288.59
1.485	289.06
1.486	288.91
1.487	288.44
1.488	288.44
1.489	288.75
1.49	287.97
1.491	288.44
1.492	288.28
1.493	288.75
1.494	288.13
1.495	288.13
1.496	288.44
1.497	287.66
1.498	288.44
1.499	287.81
1.5	288.13
1.501	288.44
1.502	288.59
1.503	288.59
1.504	288.28
1.505	287.97
1.506	287.81
1.507	288.44
1.508	288.91
1.509	288.28
1.51	288.13
1.511	287.97
1.512	288.13
1.513	288.28
1.514	288.44
1.515	273.91
1.516	273.91
1.517	274.22
1.518	274.38
1.519	274.22
1.52	274.38
1.521	274.38
1.522	274.53
1.523	273.91
1.524	274.69
1.525	274.06
1.526	274.06
1.527	273.91
1.528	274.06
1.529	274.38
1.53	273.28
1.531	274.53
1.532	274.06
1.533	274.38
1.534	274.53
1.535	266.41
1.536	265.94
1.537	265.94
1.538	265.94
1.539	266.25
1.54	265.94
1.541	265.94
1.542	265.78
1.543	265.78
1.544	265.47
1.545	266.09
1.546	265.94
1.547	265.63
1.548	266.25
1.549	265.94
1.55	266.25
1.551	265.63
1.552	265.47
1.553	265.78
1.554	266.09
1.555	289.06
1.556	288.91
1.557	288.75
1.558	288.59
1.559	288.59
1.56	288.91
1.561	288.91
1.562	288.91
1.563	288.59
1.564	288.75
1.565	288.59
1.566	288.28
1.567	288.91
1.568	288.59
1.569	288.59
1.57	288.44
1.571	289.38
1.572	288.28
1.573	288.59
1.574	288.44
1.575	335.63
1.576	336.09
1.577	335.78
1.578	335.94
1.579	335.63
1.58	335.78
1.581	336.09
1.582	335.63
1.583	336.09
1.584	335.78
1.585	336.09
1.586	336.25
1.587	335.31
1.588	335.31
1.589	335.63
1.59	335.63
1.591	336.09
1.592	335.63
1.593	335.94
1.594	335.47
1.595	386.09
1.596	385.47
1.597	385.63
1.598	385.47
1.599	385.63
1.6	386.09
1.601	385.63
1.602	385.94
1.603	385.78
1.604	385.63
1.605	385.63
1.606	385.47
1.607	385.94
1.608	385.63
1.609	385.78
1.61	385.78
1.611	385.94
1.612	385.94
1.613	385.63
1.614	385.47
1.615	432.81
1.616	432.81
1.617	433.28
1.618	432.81
1.619	432.97
1.62	432.66
1.621	432.97
1.622	432.66
1.623	432.97
1.624	432.66
1.625	432.50
1.626	432.97
1.627	432.34
1.628	432.97
1.629	432.50
1.63	432.97
1.631	432.97
1.632	433.13
1.633	432.66
1.634	432.81
1.635	477.34
1.636	477.81
1.637	477.50
1.638	477.03
1.639	477.50
1.64	477.50
1.641	477.19
1.642	475.78
1.643	477.34
1.644	476.88
1.645	477.81
1.646	477.34
1.647	477.81
1.648	477.34
1.649	477.50
1.65	477.03
1.651	476.88
1.652	477.66
1.653	477.34
1.654	477.66
1.655	514.84
1.656	515.31
